index,weekid,week position,song,performer,genre,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,year,decade
280415,1958-11-29,15,I'll Wait For You,Frankie Avalon,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll']",176066.0,False,0.3019999999999999,0.219,2.0,-11.645,1.0,0.0317,0.881,0.0,0.1809999999999999,0.385,118.132,18.0,1958,1950
155720,1958-11-29,17,Poor Boy,The Royaltones,['instrumental surf'],134066.0,False,0.466,0.892,4.0,-5.208,0.0,0.0583,0.926,0.552,0.2,0.77,76.60599999999998,9.0,1958,1950
44499,1958-11-29,21,The World Outside,The Four Coins,"['deep adult standards', 'vocal harmony group']",173520.0,False,0.262,0.403,0.0,-11.578,1.0,0.0293,0.788,0.00474,0.0649,0.315,85.171,6.0,1958,1950
182398,1958-11-29,34,I'll Remember Tonight,Pat Boone,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",131731.0,False,0.251,0.28,5.0,-17.191,1.0,0.0377,0.987,0.96,0.262,0.637,135.73,8.0,1958,1950
116004,1958-11-29,38,A Part Of Me,Jimmy Clanton,"['brill building pop', 'deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'swamp pop']",171223.0,False,0.5,0.195,7.0,-7.529,1.0,0.0327,0.442,0.0,0.1029999999999999,0.69,111.252,1.0,1958,1950
183217,1958-11-29,41,Mr. Success,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",162760.0,False,0.571,0.316,10.0,-12.901,0.0,0.0498,0.216,0.0,0.2359999999999999,0.752,125.326,29.0,1958,1950
27563,1958-11-29,45,Non Dimenticar (Don't Forget),Nat King Cole,['adult standards'],169160.0,False,0.314,0.215,7.0,-16.964,1.0,0.0407,0.754,0.0,0.17,0.245,85.57299999999998,14.0,1958,1950
136249,1958-11-29,47,Sweet Little Rock And Roller,Chuck Berry,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",134000.0,False,0.527,0.763,0.0,-12.486,1.0,0.0731,0.5759999999999998,0.000249,0.4819999999999999,0.965,165.234,10.0,1958,1950
154718,1958-12-06,4,Beep Beep,The Playmates,['novelty'],150213.0,False,0.519,0.502,4.0,-6.289,0.0,0.274,0.7189999999999999,0.0,0.226,0.759,76.545,32.0,1958,1950
237122,1958-12-06,25,Need You,Donnie Owens,[],140866.0,False,0.281,0.457,3.0,-7.38,1.0,0.0299,0.783,0.0,0.2049999999999999,0.2899999999999999,190.127,9.0,1958,1950
